Variable,Parameter
const,0.0
A.0_ID flood wave shape,0.0
A.1_Bmax,0.0
A.1_Brate,0.0
A.1_pfail,0.0
A.2_Bmax,0.0
A.2_Brate,0.0
A.2_pfail,0.0
A.3_Bmax,0.0
A.3_Brate,0.0
A.3_pfail,0.0
A.4_Bmax,0.0
A.4_Brate,0.0
A.4_pfail,0.0
A.5_Bmax,0.0
A.5_Brate,0.0
A.5_pfail,0.0
discount rate 0,0.0
discount rate 1,0.0
discount rate 2,0.0
discount rate 3,0.0
0_RfR 0,0.0
0_RfR 1,0.0
0_RfR 2,0.0
0_RfR 3,0.0
1_RfR 0,0.0
1_RfR 1,0.0
1_RfR 2,0.0
1_RfR 3,0.0
2_RfR 0,0.0
2_RfR 1,0.0
2_RfR 2,0.0
2_RfR 3,0.0
3_RfR 0,0.0
3_RfR 1,0.0
3_RfR 2,0.0
3_RfR 3,0.0
4_RfR 0,0.0
4_RfR 1,0.0
4_RfR 2,0.0
4_RfR 3,0.0
EWS_DaysToThreat,0.0
A.1_DikeIncrease 0,0.0
A.1_DikeIncrease 1,0.0
A.1_DikeIncrease 2,0.0
A.1_DikeIncrease 3,0.0
A.2_DikeIncrease 0,0.0
A.2_DikeIncrease 1,0.0
A.2_DikeIncrease 2,0.0
A.2_DikeIncrease 3,0.0
A.3_DikeIncrease 0,0.0
A.3_DikeIncrease 1,0.0
A.3_DikeIncrease 2,0.0
A.3_DikeIncrease 3,0.0
A.4_DikeIncrease 0,0.0
A.4_DikeIncrease 1,0.0
A.4_DikeIncrease 2,0.0
A.4_DikeIncrease 3,0.0
A.5_DikeIncrease 0,0.0
A.5_DikeIncrease 1,0.0
A.5_DikeIncrease 2,0.0
A.5_DikeIncrease 3,0.0
